date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:20	7151/7151	---M-Z	200	added ('OK')	text/html	etag:%221bef-5c4f50681cbd7-gzip%22	https://themesbrand.com/minia/layouts/pages-maintenance.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/pages-maintenance.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:21	5677/5677	---M-Z	200	added ('OK')	text/html	etag:%22162d-5c4f50681cbd7-gzip%22	https://themesbrand.com/minia/layouts/pages-comingsoon.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/pages-comingsoon.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:21	67698/67698	---M-Z	200	added ('OK')	text/html	etag:%2210872-5d200af1cc2de-gzip%22	https://themesbrand.com/minia/layouts/pages-timeline.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/pages-timeline.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:22	59361/59361	---M-Z	200	added ('OK')	text/html	etag:%22e7e1-5d200af1cc2de-gzip%22	https://themesbrand.com/minia/layouts/pages-faqs.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/pages-faqs.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:22	113652/113652	---M-Z	200	added ('OK')	text/html	etag:%221bbf4-5d200af1cc2de-gzip%22	https://themesbrand.com/minia/layouts/pages-pricing.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/pages-pricing.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:22	2787/2787	---M-Z	200	added ('OK')	text/html	etag:%22ae3-5c67448884cd3-gzip%22	https://themesbrand.com/minia/layouts/pages-404.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/pages-404.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:23	2787/2787	---M-Z	200	added ('OK')	text/html	etag:%22ae3-5c67448884cd3-gzip%22	https://themesbrand.com/minia/layouts/pages-500.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/pages-500.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:23	169592/169592	---M-Z	200	added ('OK')	text/html	etag:%2229678-5d200af1cb33e-gzip%22	https://themesbrand.com/minia/layouts/layouts-horizontal.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/layouts-horizontal.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:24	74571/74571	---M-Z	200	added ('OK')	text/html	etag:%221234b-5d200af1cd27e-gzip%22	https://themesbrand.com/minia/layouts/ui-alerts.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/ui-alerts.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:24	98138/98138	---M-Z	200	added ('OK')	text/html	etag:%2217f5a-5d200af1cd27e-gzip%22	https://themesbrand.com/minia/layouts/ui-buttons.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/ui-buttons.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:24	81054/81054	---M-Z	200	added ('OK')	text/html	etag:%2213c9e-5d200af1cd27e-gzip%22	https://themesbrand.com/minia/layouts/ui-cards.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/ui-cards.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:25	62834/62834	---M-Z	200	added ('OK')	text/html	etag:%22f572-5d200af1cd27e-gzip%22	https://themesbrand.com/minia/layouts/ui-carousel.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/ui-carousel.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:25	112285/112285	---M-Z	200	added ('OK')	text/html	etag:%221b69d-5d200af1cd27e-gzip%22	https://themesbrand.com/minia/layouts/ui-dropdowns.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/ui-dropdowns.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:26	79436/79436	---M-Z	200	added ('OK')	text/html	etag:%221364c-5d200af1cd27e-gzip%22	https://themesbrand.com/minia/layouts/ui-grid.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/ui-grid.html	(from https://themesbrand.com/minia/layouts/index.html)
23:47:26	60572/60572	---M-Z	200	added ('OK')	text/html	etag:%22ec9c-5d200af1cd27e-gzip%22	https://themesbrand.com/minia/layouts/ui-images.html	C:/Users/Abdelaziz/Desktop/PIDEV/templateBack/back/themesbrand.com/minia/layouts/ui-images.html	(from https://themesbrand.com/minia/layouts/index.html)
